#rank|epoch|iteration_no|event_id|event_operation|device_us|cpu_us|time_range_start_us|time_range_end_us|time_range_duration_us|self_cpu_memory_usage|self_cpu_percent|self_cpu_time_total|self_cpu_time_total_str|self_cuda_memory_usage|self_cuda_time_total|self_device_memory_usage|self_device_time_total|self_device_time_total_str|sequence_nr|stack|thread|total_cpu_percent|total_device_percent|use_device
0|1|1|154|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|99.55|0.00|762163.86|762263.41|99.55|0.00|-1.00|0.00|0.000us|0.00|99.55|0.00|99.55|99.552us|-1||1|-1.00|-1.00|cuda
0|1|1|155|Memset (Device)|36.19|0.00|762296.66|762332.85|36.19|0.00|-1.00|0.00|0.000us|0.00|36.19|0.00|36.19|36.192us|-1||1|-1.00|-1.00|cuda
0|1|1|156|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|319.84|0.00|762363.03|762682.87|319.84|0.00|-1.00|0.00|0.000us|0.00|319.84|0.00|319.84|319.839us|-1||1|-1.00|-1.00|cuda
0|1|1|157|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|25.63|0.00|762683.48|762709.11|25.63|0.00|-1.00|0.00|0.000us|0.00|25.63|0.00|25.63|25.632us|-1||1|-1.00|-1.00|cuda
0|1|1|158|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|47.01|0.00|762709.65|762756.66|47.01|0.00|-1.00|0.00|0.000us|0.00|47.01|0.00|47.01|47.008us|-1||1|-1.00|-1.00|cuda
0|1|1|159|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|76.38|0.00|762757.20|762833.59|76.38|0.00|-1.00|0.00|0.000us|0.00|76.38|0.00|76.38|76.384us|-1||1|-1.00|-1.00|cuda
0|1|1|160|Memset (Device)|10.14|0.00|762844.63|762854.77|10.14|0.00|-1.00|0.00|0.000us|0.00|10.14|0.00|10.14|10.143us|-1||1|-1.00|-1.00|cuda
0|1|1|161|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|241.82|0.00|762866.39|763108.21|241.82|0.00|-1.00|0.00|0.000us|0.00|241.82|0.00|241.82|241.823us|-1||1|-1.00|-1.00|cuda
0|1|1|162|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|29.41|0.00|763108.82|763138.23|29.41|0.00|-1.00|0.00|0.000us|0.00|29.41|0.00|29.41|29.407us|-1||1|-1.00|-1.00|cuda
0|1|1|163|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|45.34|0.00|763138.71|763184.05|45.34|0.00|-1.00|0.00|0.000us|0.00|45.34|0.00|45.34|45.344us|-1||1|-1.00|-1.00|cuda
